GENERALIZED BORN:,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,
441,2614.93,5679.76,7719.63,705.95,388.83,-393.24,-5487.62,-45393.11,2464.31,32190.2,-9732.19,254.83,489.65,-9477.36,-8987.71,,,
451,2538.34,5712.16,7699.09,698.85,385.5,-372.14,-5455.38,-45246.28,2434.23,32047.96,-9793.56,254.9,442.33,-9538.66,-9096.32,,,
461,2539.46,5660.06,7715.15,705.84,365.83,-398.57,-5448.12,-45549.69,2505.76,32135.49,-9623.69,247.14,231.21,-9376.55,-9145.34,,,
471,2538.83,5760.93,7702.82,718.87,369.83,-397.01,-5453.75,-45390.76,2475.58,32108.81,-9674.41,254.79,434.15,-9419.62,-8985.47,,,
481,2515.81,5715.71,7695.73,683.65,375.38,-391.18,-5451.96,-45455.71,2453.67,32250.54,-9658.46,256.25,391.63,-9402.2,-9010.57,,,
491,2499.64,5558.03,7736.17,691.94,391.61,-388.24,-5417.69,-45438.68,2523.55,32158.11,-9711.82,255.23,314.45,-9456.59,-9142.14,,,
501,2593.01,5675.23,7658.02,697.65,387.25,-393.06,-5443.39,-45370.19,2455.17,32275.92,-9763.41,248.78,535.62,-9514.64,-8979.02,,,
511,2543.63,5709.25,7653.79,689.35,352.61,-386.49,-5427.59,-45450.03,2470.98,32238.92,-9738.61,253.58,394.42,-9485.02,-9090.6,,,
521,2552.67,5717.59,7689.16,699.11,394.47,-354.42,-5432.96,-45449.41,2460.96,32217.1,-9725.07,250.01,494.27,-9475.06,-8980.79,,,
531,2578.3,5789.6,7682.57,708.85,379.11,-379.08,-5444.89,-45620.96,2499.19,32189.85,-9516.72,248.31,382.55,-9268.41,-8885.86,,,
541,2516.78,5812.78,7693.91,715.64,416.5,-379.76,-5450.53,-45493.38,2476.33,32237.88,-9631.27,253.92,546.13,-9377.35,-8831.22,,,
551,2537.76,5687.82,7662.17,704.82,370.45,-355.37,-5440.72,-45519.18,2448.94,32185.48,-9609.75,254.69,282.17,-9355.05,-9072.88,,,
561,2518.96,5742.63,7690.33,706.9,381.54,-373.12,-5456.32,-45463.05,2456.37,32222.61,-9663.99,251.39,426.84,-9412.6,-8985.77,,,
571,2514.28,5781.42,7642.29,717.2,368.97,-391.28,-5448.81,-45459.33,2461,32201.53,-9652.35,253.85,387.29,-9398.5,-9011.21,,,
581,2563.09,5682.78,7651.73,705.95,411.15,-382.22,-5449.76,-45255.04,2438.69,32013.79,-9743.08,253.34,380.16,-9489.74,-9109.58,,,
591,2537.48,5666.69,7690.4,724.09,393.91,-361.68,-5504.96,-45448.23,2476.88,32289.76,-9685.88,252.28,464.32,-9433.61,-8969.28,,,
601,2501.12,5726.73,7701.94,690.29,386.71,-374.44,-5456.34,-45280.64,2498.57,32132.72,-9714.68,252.24,526.67,-9462.44,-8935.77,,,
611,2580.36,5667.01,7704.45,679.92,386.53,-378.21,-5535.66,-45289.76,2457.39,32080.02,-9728.65,251.71,352.05,-9476.94,-9124.9,,,
621,2495.21,5619.89,7718.79,687.7,395.29,-396.24,-5433.9,-45583.84,2472.22,32335.86,-9616.89,254.72,310.97,-9362.17,-9051.19,,,
631,2507.61,5707.45,7738.59,694.09,387.63,-408.55,-5504.92,-45532.5,2420.38,32070.32,-9484.9,251.66,80.09,-9233.24,-9153.15,,,
641,2506.98,5689.59,7694.96,705.56,383.41,-367.39,-5429.29,-45433.24,2437,32121.35,-9667.74,251.6,308.94,-9416.14,-9107.2,,,
651,2505.22,5686.05,7726.97,701.12,385.23,-386.39,-5484.04,-45402.81,2466.93,32141.58,-9585.57,246.51,339.87,-9339.06,-8999.2,,,
661,2540.89,5668.18,7627.51,684.6,397.28,-375.81,-5415.14,-45413.03,2445.56,32099.27,-9633.41,259.19,259.31,-9374.22,-9114.91,,,
671,2486.65,5706.59,7700.15,693.75,376.42,-384.7,-5428.61,-45662.78,2465.56,32113.1,-9423.47,254.66,66.12,-9168.81,-9102.69,,,
681,2565.32,5607.39,7700.88,718.55,378.51,-382.95,-5436.2,-45745.88,2524.15,32220.41,-9405.06,252.37,150.16,-9152.7,-9002.54,,,
691,2453.12,5801.3,7620.12,696.68,379.91,-377.9,-5446.83,-45701.75,2494.1,32251.51,-9522.83,253.7,170.26,-9269.13,-9098.88,,,
701,2483.45,5819.97,7670.66,687.51,424.81,-377.97,-5388.99,-45665.79,2487.58,32190.38,-9500.77,254.62,331.62,-9246.15,-8914.53,,,
711,2604.93,5716.75,7712.39,697.01,385.27,-381.81,-5493.56,-45370.29,2441.11,32088.04,-9689.75,253.44,399.85,-9436.31,-9036.46,,,
721,2460.9,5805.19,7687.99,706.51,399.01,-376.58,-5471.87,-45363.27,2486.16,32179.04,-9748.92,250.66,513.07,-9498.26,-8985.19,,,
731,2549.46,5699.64,7639.77,701.17,368.44,-389.21,-5514.99,-45554.22,2486.01,32199.83,-9604.79,252.08,185.9,-9352.71,-9166.82,,,
741,2506.87,5758.01,7678.03,693.16,390.69,-403.16,-5457.87,-45636.41,2515.63,32162.01,-9507.51,250.22,206.95,-9257.29,-9050.34,,,
751,2589.17,5784.26,7674.06,716.43,378.98,-415.77,-5378.81,-45567.38,2480.12,32223.6,-9635.33,249.54,484.65,-9385.78,-8901.13,,,
761,2480.51,5658.8,7655.24,688.26,370.2,-380.27,-5466,-45548.28,2474.02,32148.86,-9537.12,252.87,81.33,-9284.24,-9202.91,,,
